Time,Open,High,Low,Close,Volume
2023-09-26 19:55:00,143.5900,143.5900,143.5800,143.5900,105
2023-09-26 19:45:00,143.4000,143.5800,143.4000,143.5800,72
2023-09-26 19:40:00,143.5000,143.5900,143.3600,143.5900,173
2023-09-26 19:30:00,143.3600,143.4300,143.3600,143.4300,150
2023-09-26 19:25:00,143.4200,143.4200,143.4200,143.4200,74
2023-09-26 19:20:00,143.4500,143.4500,143.4500,143.4500,1
2023-09-26 19:15:00,143.4000,143.4000,143.4000,143.4000,1
2023-09-26 19:05:00,143.4000,143.4000,143.4000,143.4000,75
2023-09-26 19:00:00,143.2400,143.3600,143.2400,143.3600,677130
2023-09-26 18:55:00,143.4000,143.4000,143.3600,143.4000,61
2023-09-26 18:50:00,143.4300,143.4300,143.3600,143.3600,204
2023-09-26 18:45:00,143.4000,143.4000,143.4000,143.4000,7
2023-09-26 18:40:00,143.4000,143.4000,143.4000,143.4000,7
2023-09-26 18:30:00,143.2400,143.2400,143.2400,143.2400,677097
2023-09-26 18:25:00,143.4100,143.4100,143.4000,143.4000,47
2023-09-26 18:20:00,143.5200,143.5200,143.4200,143.4200,21
2023-09-26 18:10:00,143.5900,143.5900,143.5900,143.5900,3
2023-09-26 18:05:00,143.4400,143.4500,143.4400,143.4500,6
2023-09-26 17:55:00,143.4400,143.4400,143.4400,143.4400,2
2023-09-26 17:50:00,143.4000,143.4000,143.4000,143.4000,400
2023-09-26 17:35:00,143.4000,143.4400,143.4000,143.4400,5
2023-09-26 17:15:00,143.5900,143.5900,143.5900,143.5900,10
2023-09-26 17:10:00,143.4990,143.4990,143.4990,143.4990,10
2023-09-26 17:05:00,143.4100,143.5900,143.4100,143.5900,114
2023-09-26 17:00:00,143.4400,143.4400,143.4400,143.4400,10
2023-09-26 16:55:00,143.4400,143.4400,143.2400,143.2400,31273
2023-09-26 16:50:00,143.4500,143.4500,143.4500,143.4500,199
2023-09-26 16:45:00,143.4500,143.5100,143.4500,143.5100,5
2023-09-26 16:35:00,143.4000,143.6000,143.4000,143.6000,48
2023-09-26 16:30:00,143.5000,143.5000,143.5000,143.5000,2
2023-09-26 16:20:00,143.2400,150.0000,143.2400,150.0000,7081
2023-09-26 16:15:00,143.2400,143.3500,143.2400,143.3500,201
2023-09-26 16:10:00,143.2400,143.3600,143.2400,143.3500,688449
2023-09-26 16:05:00,143.3600,143.6800,143.0000,143.0000,82
2023-09-26 16:00:00,143.2400,143.4000,143.2400,143.3500,1461332
2023-09-26 15:55:00,143.4050,143.4500,143.2200,143.2400,325072
2023-09-26 15:50:00,143.3000,143.5000,143.2300,143.4050,162234
2023-09-26 15:45:00,143.4750,143.4900,143.3000,143.3000,88626
2023-09-26 15:40:00,143.4600,143.5350,143.4500,143.4700,82135
2023-09-26 15:35:00,143.3500,143.4800,143.3300,143.4650,49530
2023-09-26 15:30:00,143.3100,143.4700,143.3050,143.3450,68116
2023-09-26 15:25:00,143.1100,143.3100,143.0200,143.3000,96574
2023-09-26 15:20:00,143.1400,143.1500,143.0500,143.1000,63261
2023-09-26 15:15:00,143.4800,143.4900,143.1200,143.1500,68294
2023-09-26 15:10:00,143.5800,143.5950,143.4700,143.4800,51584
2023-09-26 15:05:00,143.5450,143.5900,143.4600,143.5750,49685
2023-09-26 15:00:00,143.3650,143.6000,143.3600,143.5420,55563
2023-09-26 14:55:00,143.3450,143.3900,143.2600,143.3790,54940
2023-09-26 14:50:00,143.3550,143.4500,143.3200,143.3400,57859
2023-09-26 14:45:00,143.4040,143.4470,143.3400,143.3600,51720
2023-09-26 14:40:00,143.5350,143.5350,143.3900,143.4000,50876
2023-09-26 14:35:00,143.5500,143.5600,143.4800,143.5450,50124
2023-09-26 14:30:00,143.5700,143.5900,143.4100,143.5500,46746
2023-09-26 14:25:00,143.7700,143.7800,143.5800,143.5800,47624
2023-09-26 14:20:00,143.6900,143.7800,143.6800,143.7700,20924
2023-09-26 14:15:00,143.7700,143.8100,143.6650,143.6900,35850
2023-09-26 14:10:00,143.7500,143.8200,143.6800,143.7900,36613
2023-09-26 14:05:00,143.7400,143.7900,143.7200,143.7600,25549
2023-09-26 14:00:00,143.7400,143.8000,143.6600,143.7600,44539
2023-09-26 13:55:00,143.5700,143.7800,143.5700,143.7500,37217
2023-09-26 13:50:00,143.4800,143.6870,143.4500,143.5500,38623
2023-09-26 13:45:00,143.5250,143.5900,143.4100,143.4700,46333
2023-09-26 13:40:00,143.7200,143.7700,143.5000,143.5300,65843
2023-09-26 13:35:00,143.8700,143.8810,143.7000,143.7300,53374
2023-09-26 13:30:00,143.9100,143.9600,143.8600,143.8600,33247
2023-09-26 13:25:00,144.0100,144.0400,143.9200,143.9200,33996
2023-09-26 13:20:00,144.0600,144.0650,143.9700,144.0150,62042
2023-09-26 13:15:00,144.2200,144.2550,144.0500,144.0700,41961
2023-09-26 13:10:00,144.2000,144.2550,144.1600,144.2300,34839
2023-09-26 13:05:00,144.1700,144.2300,144.0200,144.2100,83284
2023-09-26 13:00:00,144.2200,144.2900,144.0650,144.1500,99254
2023-09-26 12:55:00,144.2700,144.3000,144.2100,144.2150,39230
2023-09-26 12:50:00,144.3870,144.3870,144.2500,144.2750,34531
2023-09-26 12:45:00,144.3700,144.4280,144.3300,144.3800,27793
2023-09-26 12:40:00,144.4000,144.4000,144.3550,144.3700,22070
2023-09-26 12:35:00,144.4800,144.4900,144.3800,144.4000,25473
2023-09-26 12:30:00,144.4900,144.5100,144.4400,144.4800,19845
2023-09-26 12:25:00,144.4250,144.5000,144.3700,144.4700,21469
2023-09-26 12:20:00,144.3900,144.4800,144.3400,144.4400,24948
2023-09-26 12:15:00,144.5500,144.5800,144.3640,144.3640,37274
2023-09-26 12:10:00,144.5000,144.6900,144.5000,144.5650,44659
2023-09-26 12:05:00,144.3150,144.5200,144.3000,144.4900,22504
2023-09-26 12:00:00,144.3500,144.5000,144.3000,144.3150,35793
2023-09-26 11:55:00,144.5300,144.5400,144.3000,144.3600,49105
2023-09-26 11:50:00,144.4720,144.6000,144.4100,144.5300,31236
2023-09-26 11:45:00,144.5000,144.5700,144.3700,144.4700,36425
2023-09-26 11:40:00,144.5300,144.5700,144.3700,144.4950,44381
2023-09-26 11:35:00,144.6120,144.6120,144.5100,144.5750,48072
2023-09-26 11:30:00,144.4900,144.6230,144.4900,144.6230,44788
2023-09-26 11:25:00,144.6350,144.6600,144.4500,144.5000,41245
2023-09-26 11:20:00,144.6650,144.7200,144.5600,144.6310,134141
2023-09-26 11:15:00,144.6300,144.7300,144.6050,144.6300,37469
2023-09-26 11:10:00,144.8100,144.8200,144.5600,144.6350,56515
2023-09-26 11:05:00,145.0200,145.0200,144.7600,144.8020,41753
2023-09-26 11:00:00,145.0190,145.0960,144.9900,145.0350,24763
2023-09-26 10:55:00,145.0400,145.0550,144.8150,145.0040,67353
2023-09-26 10:50:00,145.1750,145.1800,145.0500,145.0600,32400
2023-09-26 10:45:00,145.4050,145.4200,145.1900,145.2000,30694
2023-09-26 10:40:00,145.1670,145.4120,145.1670,145.4120,31703
2023-09-26 10:35:00,145.1600,145.2600,145.1200,145.1800,27784
